"Label (Grouping)","Occupied housing units","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!White","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!Black or African American","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!American Indian and Alaska Native","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!Asian","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!Native Hawaiian and Other Pacific Islander","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!Some other race","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Two or more races","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Hispanic or Latino origin","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!White alone, not Hispanic or Latino","Occupied housing units!!AGE OF HOUSEHOLDER","Occupied housing units!!AGE OF HOUSEHOLDER!!Under 35 years","Occupied housing units!!AGE OF HOUSEHOLDER!!35 to 44 years","Occupied housing units!!AGE OF HOUSEHOLDER!!45 to 54 years","Occupied housing units!!AGE OF HOUSEHOLDER!!55 to 64 years","Occupied housing units!!AGE OF HOUSEHOLDER!!65 to 74 years","Occupied housing units!!AGE OF HOUSEHOLDER!!75 to 84 years","Occupied housing units!!AGE OF HOUSEHOLDER!!85 years and over","Occupied housing units!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER","Occupied housing units!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Less than high school graduate","Occupied housing units!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!High school graduate (includes equivalency)","Occupied housing units!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Some college or associate's degree","Occupied housing units!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Bachelor's degree or higher","Occupied housing units!!YEAR HOUSEHOLDER MOVED INTO UNIT","Occupied housing units!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 2017 or later","Occupied housing units!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 2015 to 2016","Occupied housing units!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 2010 to 2014","Occupied housing units!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 2000 to 2009","Occupied housing units!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 1990 to 1999","Occupied housing units!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 1989 or earlier"
"        Margin of Error","±21,382","","","±15,627","±4,199","±726","±3,232","±215","±2,449","±1,925","±5,031","±13,102","","±4,786","±6,002","±5,346","±4,449","±4,386","±3,555","±2,079","","±3,547","±5,186","±7,460","±15,715","","±3,103","±4,198","±6,586","±7,996","±6,582","±5,844"
"    Percent owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,957,802","","","80.8%","8.6%","0.3%","6.5%","0.0%","2.4%","1.4%","7.4%","76.5%","","7.9%","14.6%","21.2%","24.2%","18.3%","9.7%","4.1%","","6.6%","22.6%","26.5%","44.3%","","3.8%","6.6%","15.6%","28.3%","19.5%","26.2%"
"        Margin of Error","±21,382","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.2","±0.1","±0.2","","±0.1","±0.1","±0.1","±0.2","±0.1","±0.1"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,385,432","","","1,827,209","749,802","17,223","271,213","1,928","414,299","103,758","843,246","1,506,368","","965,431","645,778","585,519","519,095","353,355","205,432","110,822","","576,402","849,780","829,048","1,130,202","","423,919","625,253","1,056,259","688,998","297,340","293,663"
"        Margin of Error","±10,667","","","±7,784","±4,133","±1,053","±2,686","±365","±5,213","±2,933","±4,398","±7,700","","±6,179","±5,138","±5,391","±4,634","±3,620","±2,855","±2,012","","±5,882","±6,997","±6,225","±7,380","","±4,734","±6,218","±7,981","±6,109","±4,380","±3,785"
"    Percent renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,385,432","","","54.0%","22.1%","0.5%","8.0%","0.1%","12.2%","3.1%","24.9%","44.5%","","28.5%","19.1%","17.3%","15.3%","10.4%","6.1%","3.3%","","17.0%","25.1%","24.5%","33.4%","","12.5%","18.5%","31.2%","20.4%","8.8%","8.7%"
"        Margin of Error","±10,667","","","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.2","±0.2","±0.2","±0.2","","±0.1","±0.2","±0.2","±0.2","±0.1","±0.1"
"North Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,965,482","","","2,854,309","836,021","42,343","90,650","2,321","81,114","58,724","248,304","2,702,764","","754,829","678,595","754,600","764,092","597,839","305,408","110,119","","423,086","920,291","1,293,909","1,328,196","","429,352","621,188","934,207","978,111","488,309","514,315"
"        Margin of Error","±10,327","","","±7,736","±3,955","±977","±1,329","±394","±2,154","±1,887","±2,282","±7,175","","±5,847","±3,451","±3,287","±3,044","±3,037","±2,830","±2,050","","±4,973","±7,662","±7,945","±11,379","","±5,209","±5,699","±5,639","±7,016","±4,983","±4,766"
"    Percent occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,965,482","","","72.0%","21.1%","1.1%","2.3%","0.1%","2.0%","1.5%","6.3%","68.2%","","19.0%","17.1%","19.0%","19.3%","15.1%","7.7%","2.8%","","10.7%","23.2%","32.6%","33.5%","","10.8%","15.7%","23.6%","24.7%","12.3%","13.0%"
"        Margin of Error","±10,327","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.2","±0.2","±0.2","","±0.1","±0.1","±0.1","±0.2","±0.1","±0.1"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,585,934","","","2,056,789","380,625","27,287","56,464","1,193","34,409","29,167","114,117","1,983,843","","252,451","401,946","529,789","581,384","487,874","250,884","81,606","","222,641","577,385","808,490","977,418","","143,727","231,735","468,569","807,580","449,922","484,401"
"        Margin of Error","±14,825","","","±10,305","±4,186","±844","±1,430","±287","±1,462","±1,394","±2,379","±9,379","","±4,438","±4,147","±4,087","±4,127","±2,997","±2,419","±1,567","","±3,208","±5,120","±6,529","±10,426","","±2,644","±3,205","±4,887","±6,958","±4,982","±4,467"
"    Percent owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,585,934","","","79.5%","14.7%","1.1%","2.2%","0.0%","1.3%","1.1%","4.4%","76.7%","","9.8%","15.5%","20.5%","22.5%","18.9%","9.7%","3.2%","","8.6%","22.3%","31.3%","37.8%","","5.6%","9.0%","18.1%","31.2%","17.4%","18.7%"
"        Margin of Error","±14,825","","","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.2","±0.2","±0.3","","±0.1","±0.1","±0.1","±0.2","±0.2","±0.2"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,379,548","","","797,520","455,396","15,056","34,186","1,128","46,705","29,557","134,187","718,921","","502,378","276,649","224,811","182,708","109,965","54,524","28,513","","200,445","342,906","485,419","350,778","","285,625","389,453","465,638","170,531","38,387","29,914"
"        Margin of Error","±8,561","","","±7,354","±3,878","±784","±1,142","±246","±1,651","±1,236","±2,453","±6,548","","±4,832","±3,892","±3,729","±3,117","±1,982","±1,695","±1,111","","±3,915","±5,309","±5,543","±3,652","","±4,449","±4,862","±5,640","±3,198","±1,325","±1,205"
"    Percent renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,379,548","","","57.8%","33.0%","1.1%","2.5%","0.1%","3.4%","2.1%","9.7%","52.1%","","36.4%","20.1%","16.3%","13.2%","8.0%","4.0%","2.1%","","14.5%","24.9%","35.2%","25.4%","","20.7%","28.2%","33.8%","12.4%","2.8%","2.2%"
"        Margin of Error","±8,561","","","±0.3","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","±0.3","","±0.3","±0.2","±0.2","±0.2","±0.1","±0.1","±0.1","","±0.3","±0.3","±0.3","±0.3","","±0.3","±0.3","±0.4","±0.2","±0.1","±0.1"
"North Dakota","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","318,322","","","285,668","8,557","11,832","4,008","218","2,588","5,451","8,712","280,554","","92,392","49,430","48,152","56,370","38,304","21,933","11,741","","21,123","79,954","120,307","96,938","","41,683","56,389","83,425","62,091","33,345","41,389"
"        Margin of Error","±1,899","","","±1,868","±561","±500","±376","±118","±436","±619","±454","±1,833","","±1,608","±1,009","±849","±653","±561","±640","±595","","±813","±1,537","±2,015","±2,007","","±1,319","±1,592","±1,616","±1,259","±1,092","±876"
"    Percent occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","318,322","","","89.7%","2.7%","3.7%","1.3%","0.1%","0.8%","1.7%","2.7%","88.1%","","29.0%","15.5%","15.1%","17.7%","12.0%","6.9%","3.7%","","6.6%","25.1%","37.8%","30.5%","","13.1%","17.7%","26.2%","19.5%","10.5%","13.0%"
"        Margin of Error","±1,899","","","±0.3","±0.2","±0.2","±0.1","±0.1","±0.1","±0.2","±0.1","±0.3","","±0.4","±0.3","±0.3","±0.2","±0.2","±0.2","±0.2","","±0.3","±0.5","±0.6","±0.6","","±0.4","±0.5","±0.5","±0.4","±0.3","±0.3"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","198,482","","","188,336","667","5,374","1,281","18","603","2,203","2,705","186,549","","32,407","33,550","34,259","43,772","31,288","16,700","6,506","","10,588","47,070","72,600","68,224","","10,410","19,896","47,827","50,947","30,158","39,244"
"        Margin of Error","±1,820","","","±1,705","±197","±283","±229","±21","±156","±345","±339","±1,689","","±1,205","±869","±726","±631","±578","±545","±452","","±540","±1,134","±1,512","±1,462","","±755","±1,057","±1,266","±1,084","±1,014","±789"
"    Percent owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","198,482","","","94.9%","0.3%","2.7%","0.6%","0.0%","0.3%","1.1%","1.4%","94.0%","","16.3%","16.9%","17.3%","22.1%","15.8%","8.4%","3.3%","","5.3%","23.7%","36.6%","34.4%","","5.2%","10.0%","24.1%","25.7%","15.2%","19.8%"
"        Margin of Error","±1,820","","","±0.3","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","±0.2","±0.3","","±0.5","±0.4","±0.3","±0.4","±0.3","±0.3","±0.2","","±0.3","±0.6","±0.7","±0.6","","±0.4","±0.5","±0.6","±0.5","±0.5","±0.4"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","119,840","","","97,332","7,890","6,458","2,727","200","1,985","3,248","6,007","94,005","","59,985","15,880","13,893","12,598","7,016","5,233","5,235","","10,535","32,884","47,707","28,714","","31,273","36,493","35,598","11,144","3,187","2,145"
"        Margin of Error","±1,654","","","±1,741","±560","±505","±366","±116","±414","±475","±462","±1,742","","±1,395","±975","±779","±720","±569","±413","±463","","±662","±1,123","±1,510","±1,218","","±1,215","±1,361","±1,144","±578","±331","±243"
"    Percent renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","119,840","","","81.2%","6.6%","5.4%","2.3%","0.2%","1.7%","2.7%","5.0%","78.4%","","50.1%","13.3%","11.6%","10.5%","5.9%","4.4%","4.4%","","8.8%","27.4%","39.8%","24.0%","","26.1%","30.5%","29.7%","9.3%","2.7%","1.8%"
"        Margin of Error","±1,654","","","±0.7","±0.5","±0.4","±0.3","±0.1","±0.3","±0.4","±0.4","±0.7","","±0.9","±0.8","±0.6","±0.6","±0.5","±0.3","±0.4","","±0.6","±0.9","±1.1","±1.0","","±0.9","±1.0","±0.9","±0.5","±0.3","±0.2"
"Ohio","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,676,358","","","3,885,062","584,521","9,651","85,813","1,147","34,216","75,948","131,083","3,799,219","","897,868","741,839","852,633","950,835","697,888","372,460","162,835","","400,192","1,436,086","1,449,890","1,390,190","","458,430","681,787","1,073,772","1,095,083","626,287","740,999"
"        Margin of Error","±10,659","","","±9,165","±3,275","±748","±1,411","±226","±1,407","±2,069","±1,727","±8,844","","±4,602","±3,414","±3,137","±2,866","±3,270","±3,155","±2,286","","±4,277","±5,600","±7,294","±10,834","","±5,354","±5,219","±5,807","±8,262","±5,718","±5,498"
"    Percent occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,676,358","","","83.1%","12.5%","0.2%","1.8%","0.0%","0.7%","1.6%","2.8%","81.2%","","19.2%","15.9%","18.2%","20.3%","14.9%","8.0%","3.5%","","8.6%","30.7%","31.0%","29.7%","","9.8%","14.6%","23.0%","23.4%","13.4%","15.8%"
"        Margin of Error","±10,659","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.2","","±0.1","±0.1","±0.1","±0.2","±0.1","±0.1"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,089,046","","","2,786,538","208,044","4,236","44,651","355","13,061","32,161","58,421","2,744,380","","324,425","459,651","606,477","722,073","560,703","301,081","114,636","","198,668","923,091","909,111","1,058,176","","150,790","255,300","524,201","877,479","576,614","704,662"
"        Margin of Error","±16,610","","","±13,832","±3,067","±498","±1,004","±102","±778","±1,213","±1,705","±13,216","","±4,696","±4,536","±4,169","±3,917","±3,099","±2,784","±1,868","","±2,529","±5,357","±6,854","±10,066","","±2,680","±3,404","±5,384","±7,880","±5,508","±5,466"
"    Percent owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,089,046","","","90.2%","6.7%","0.1%","1.4%","0.0%","0.4%","1.0%","1.9%","88.8%","","10.5%","14.9%","19.6%","23.4%","18.2%","9.7%","3.7%","","6.4%","29.9%","29.4%","34.3%","","4.9%","8.3%","17.0%","28.4%","18.7%","22.8%"
"        Margin of Error","±16,610","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.2","±0.2","±0.2","","±0.1","±0.1","±0.1","±0.2","±0.1","±0.1"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,587,312","","","1,098,524","376,477","5,415","41,162","792","21,155","43,787","72,662","1,054,839","","573,443","282,188","246,156","228,762","137,185","71,379","48,199","","201,524","512,995","540,779","332,014","","307,640","426,487","549,571","217,604","49,673","36,337"
"        Margin of Error","±8,144","","","±6,971","±3,560","±570","±1,288","±207","±1,146","±1,856","±1,798","±6,823","","±4,062","±4,136","±3,343","±3,398","±2,269","±1,607","±1,274","","±3,618","±5,093","±4,985","±3,820","","±4,657","±4,370","±5,445","±2,770","±1,451","±1,237"
"    Percent renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,587,312","","","69.2%","23.7%","0.3%","2.6%","0.0%","1.3%","2.8%","4.6%","66.5%","","36.1%","17.8%","15.5%","14.4%","8.6%","4.5%","3.0%","","12.7%","32.3%","34.1%","20.9%","","19.4%","26.9%","34.6%","13.7%","3.1%","2.3%"
"        Margin of Error","±8,144","","","±0.2","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","","±0.2","±0.2","±0.2","±0.2","±0.2","±0.1","±0.1","","±0.2","±0.3","±0.3","±0.2","","±0.3","±0.2","±0.3","±0.2","±0.1","±0.1"
"Oklahoma","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,480,061","","","1,133,779","108,079","98,151","25,839","1,564","29,429","83,220","105,166","1,065,656","","320,922","247,020","250,305","281,817","217,358","117,562","45,077","","155,097","420,325","498,087","406,552","","172,641","238,929","372,576","350,974","166,249","178,692"
"        Margin of Error","±2,803","","","±3,129","±1,386","±1,264","±702","±239","±907","±1,560","±1,358","±2,945","","±2,113","±1,535","±1,449","±1,467","±1,421","±1,334","±1,112","","±2,208","±3,549","±3,743","±3,842","","±2,367","±2,817","±3,256","±2,517","±2,138","±2,009"
"    Percent occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,480,061","","","76.6%","7.3%","6.6%","1.7%","0.1%","2.0%","5.6%","7.1%","72.0%","","21.7%","16.7%","16.9%","19.0%","14.7%","7.9%","3.0%","","10.5%","28.4%","33.7%","27.5%","","11.7%","16.1%","25.2%","23.7%","11.2%","12.1%"
"        Margin of Error","±2,803","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.2","±0.2","±0.2","","±0.2","±0.2","±0.2","±0.2","±0.1","±0.1"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","971,122","","","789,878","41,689","61,400","14,865","526","15,400","47,364","54,212","755,045","","119,459","151,558","174,687","215,545","179,090","97,820","32,963","","85,194","262,531","311,968","311,429","","52,779","89,982","210,309","294,411","153,372","170,269"
"        Margin of Error","±3,448","","","±3,028","±1,034","±1,084","±543","±203","±664","±1,075","±1,141","±2,762","","±1,729","±1,803","±1,446","±1,573","±1,543","±1,356","±884","","±1,565","±2,397","±2,916","±3,252","","±1,410","±1,784","±2,438","±2,386","±2,069","±1,927"
"    Percent owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","971,122","","","81.3%","4.3%","6.3%","1.5%","0.1%","1.6%","4.9%","5.6%","77.7%","","12.3%","15.6%","18.0%","22.2%","18.4%","10.1%","3.4%","","8.8%","27.0%","32.1%","32.1%","","5.4%","9.3%","21.7%","30.3%","15.8%","17.5%"
